Name,InChIKey,Mix label,Exact Mass,Formula,[M+H]+,[M+NH4]+,[M+Na]+
D-Ala-D-Ala,DEFJQIDDEAULHB-QWWZWVQMSA-N,GC LIB 11,160.08479,C6H12N2O3,161.0920733,178.1186133,183.0740133
D-Erythrose-4-Phosphate,NGHMDNPXVRFFGS-IUYQGCFVSA-N,GC LIB 11,200.00859,C4H9O7P,201.0158706,218.0424106,222.9978106
DL-4-Hydroxymandelic Acid,YHXHKYRQLYQUIH-UHFFFAOYSA-N,GC LIB 11,168.04226,C8H8O4,169.0495397,186.0760797,191.0314797
Fluorene,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,GC LIB 11,166.07825,C13H10,167.0855313,184.1120713,189.0674713
Juglone,KQPYUDDGWXQXHS-UHFFFAOYSA-N,GC LIB 11,174.03169,C10H6O3,175.0389751,192.0655151,197.0209151
Lactitol,VQHSOMBJVWLPSR-JVCRWLNRSA-N,GC LIB 11,344.13186,C12H24O11,345.1391426,362.1656826,367.1210826
"L-Alanine-2,3,3,3-D4",QNAYBMKLOCPYGJ-IALWIIEESA-N,GC LIB 11,89.04768,C3H7NO2,90.05495947,107.0814995,112.0368995
L-Allothreonine,AYFVYJQAPQTCCC-HRFVKAFMSA-N,GC LIB 11,119.05824,C4H9NO3,120.0655242,137.0920642,142.0474642
L-Canavanine,FSBIGDSBMBYOPN-VKHMYHEASA-N,GC LIB 11,176.09094,C5H12N4O3,177.0982213,194.1247613,199.0801613
L-Glutamic (?) Acid,WHUUTDBJXJRKMK-VKHMYHEASA-N,GC LIB 11,147.05316,C5H9NO4,148.0604388,165.0869788,170.0423788
Methyl-Β-D-Galactopyranoside,HOVAGTYPODGVJG-PZRMXXKTSA-N,GC LIB 11,194.07904,C7H14O6,195.0863192,212.1128592,217.0682592
Uridine 5′-Monophosphate,DJJCXFVJDGTHFX-XVFCMESISA-N,GC LIB 11,324.03587,C9H13N2O9P,325.043148,342.069688,347.025088
(−)-Perillyl Alcohol,NDTYTMIUWGWIMO-SNVBAGLBSA-N,GC LIB 2,152.12012,C10H16O,153.1273961,170.1539361,175.1093361
1-Indanol,YIAPLDFPUUJILH-UHFFFAOYSA-N,GC LIB 2,134.07316,C9H10O,135.0804459,152.1069859,157.0623859
"2,3-Dihydroxybiphenyl",YKOQAAJBYBTSBS-UHFFFAOYSA-N,GC LIB 2,186.06808,C12H10O2,187.0753606,204.1019006,209.0573006
"2,4-Dihydroxypyrimidine-5-Carboxylic Acid",ZXYAAVBXHKCJJB-UHFFFAOYSA-N,GC LIB 2,156.01711,C5H4N2O4,157.0243876,174.0509276,179.0063276
2-Hydroxybenzyl Alcohol,CQRYARSYNCAZFO-UHFFFAOYSA-N,GC LIB 2,124.05243,C7H8O2,125.0597105,142.0862505,147.0416505
"5Α-Androstane-3Β,17Β-Diol",CBMYJHIOYJEBSB-CAHXEBCQSA-N,GC LIB 2,292.24023,C19H32O2,293.2475113,310.2740513,315.2294513
Albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,GC LIB 2,265.0885,C12H15N3O2S,266.0957789,283.1223189,288.0777189
Alpha Ketoglutaric Acid,KPGXRSRHYNQIFN-UHFFFAOYSA-N,GC LIB 2,146.02152,C5H6O5,147.0288043,164.0553443,169.0107443
"Benzene-1,2,4-Triol",GGNQRNBDZQJCCN-UHFFFAOYSA-N,GC LIB 2,126.03169,C6H6O3,127.0389751,144.0655151,149.0209151
D (+) Galactose,WQZGKKKJIJFFOK-SVZMEOIVSA-N,GC LIB 2,180.06339,C6H12O6,181.0706691,198.0972091,203.0526091
Hyoscyamine (Atropine),RKUNBYITZUJHSG-VFSICIBPSA-N,GC LIB 2,289.16779,C17H23NO3,290.1750746,307.2016146,312.1570146
Mandelonitrile,NNICRUQPODTGRU-UHFFFAOYSA-N,GC LIB 2,133.05276,C8H7NO,134.0600448,151.0865848,156.0419848
M-Cresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,GC LIB 2,108.05751,C7H8O,109.0647959,126.0913359,131.0467359
Myricetin,IKMDFBPHZNJCSN-UHFFFAOYSA-N,GC LIB 2,318.03757,C15H10O8,319.0448483,336.0713883,341.0267883
N-Benzyloxycarbonylglycine,CJUMAFVKTCBCJK-UHFFFAOYSA-N,GC LIB 2,209.06881,C10H11NO4,210.0760888,227.1026288,232.0580288
Norepinephrine (Noradrenalin),SFLSHLFXELFNJZ-QMMMGPOBSA-N,GC LIB 2,169.07389,C8H11NO3,170.0811742,187.1077142,192.0631142
O-Acetylsalicylic Acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,GC LIB 2,180.04226,C9H8O4,181.0495397,198.0760797,203.0314797
Octanal,NUJGJRNETVAIRJ-UHFFFAOYSA-N,GC LIB 2,128.12012,C8H16O,129.1273961,146.1539361,151.1093361
Ortho-Phosphoric Acid,NBIIXXVUZAFLBC-UHFFFAOYSA-N,GC LIB 2,97.9769,H3O4P,98.98417657,116.0107166,120.9661166
Tropic Acid,JACRWUWPXAESPB-UHFFFAOYSA-N,GC LIB 2,166.06299,C9H10O3,167.0702752,184.0968152,189.0522152
"(1R,2S)-Cis-1,2-Dihydro-1,2-Naphthalenediol",QPUHWUSUBHNZCG-VHSXEESVSA-N,GC LIB 3,162.06808,C10H10O2,163.0753606,180.1019006,185.0573006
"1,4-Dihydroxy-2-Naphthoic Acid",VOJUXHHACRXLTD-UHFFFAOYSA-N,GC LIB 3,204.04226,C11H8O4,205.0495397,222.0760797,227.0314797
"1,4-Dithioerythritol",VHJLVAABSRFDPM-ZXZARUISSA-N,GC LIB 3,154.01222,C4H10O2S2,155.0195029,172.0460429,177.0014429
2-(4-Hydroxyphenyl)Ethanol,YCCILVSKPBXVIP-UHFFFAOYSA-N,GC LIB 3,138.06808,C8H10O2,139.0753606,156.1019006,161.0573006
2-Furoic Acid,SMNDYUVBFMFKNZ-UHFFFAOYSA-N,GC LIB 3,112.01604,C5H4O3,113.023325,130.049865,135.005265
3-(4-Hydroxyphenyl)Propionic Acid,NMHMNPHRMNGLLB-UHFFFAOYSA-N,GC LIB 3,166.06299,C9H10O3,167.0702752,184.0968152,189.0522152
4-Hydroxy-3-Methoxybenzoic Acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,GC LIB 3,168.04226,C8H8O4,169.0495397,186.0760797,191.0314797
4-Nitrophenol,BTJIUGUIPKRLHP-UHFFFAOYSA-N,GC LIB 3,139.02694,C6H5NO3,140.034224,157.060764,162.016164
5-Methoxypsoralen,BGEBZHIAGXMEMV-UHFFFAOYSA-N,GC LIB 3,216.04226,C12H8O4,217.0495397,234.0760797,239.0314797
6-Hydroxy Caproic Acid,IWHLYPDWHHPVAA-UHFFFAOYSA-N,GC LIB 3,132.07864,C6H12O3,133.0859252,150.1124652,155.0678652
Benzamide,KXDAEFPNCMNJSK-UHFFFAOYSA-N,GC LIB 3,121.05276,C7H7NO,122.0600448,139.0865848,144.0419848
Benzylsuccinic Acid,GTOFKXZQQDSVFH-UHFFFAOYSA-N,GC LIB 3,208.07356,C11H12O4,209.0808399,226.1073799,231.0627799
Coniferyl Alcohol,JMFRWRFFLBVWSI-NSCUHMNNSA-N,GC LIB 3,180.07864,C10H12O3,181.0859252,198.1124652,203.0678652
L-Hyoscyamine,RKUNBYITZUJHSG-SLTXQBBLSA-N,GC LIB 3,289.16779,C17H23NO3,290.1750746,307.2016146,312.1570146
Methoxytryptamine,JTEJPPKMYBDEMY-UHFFFAOYSA-N,GC LIB 3,190.11061,C11H14N2O,191.1178941,208.1444341,213.0998341
Oxytetracycline,OWFJMIVZYSDULZ-PXOLEDIWSA-N,GC LIB 3,460.14818,C22H24N2O9,461.1554614,478.1820014,483.1374014
Phenyl-Beta-Glucopyranoside,NEZJDVYDSZTRFS-RMPHRYRLSA-N,GC LIB 3,256.09469,C12H16O6,257.1019692,274.1285092,279.0839092
Phenylphosphoric Acid,CMPQUABWPXYYSH-UHFFFAOYSA-N,GC LIB 3,174.0082,C6H7O4P,175.0154767,192.0420167,196.9974167
Pyrrole -2-Carboxylic Acid,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,GC LIB 3,111.03203,C5H5NO2,112.0393094,129.0658494,134.0212494
Salicylaldehyde,SMQUZDBALVYZAC-UHFFFAOYSA-N,GC LIB 3,122.03678,C7H6O2,123.0440604,140.0706004,145.0260004
"2,4-Dibromophenol",FAXWFCTVSHEODL-UHFFFAOYSA-N,GC LIB 4,249.86289,C6H4Br2O,250.8701709,267.8967109,272.8521109
"2-Butyne-1,4-Diol",DLDJFQGPPSQZKI-UHFFFAOYSA-N,GC LIB 4,86.03678,C4H6O2,87.04406043,104.0706004,109.0260004
3-(1-Pyrazolyl)-L-Alanine,PIGOPELHGLPKLL-YFKPBYRVSA-N,GC LIB 4,155.06948,C6H9N3O2,156.0767575,173.1032975,178.0586975
3-(3-Hydroxyphenyl)Propionic Acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,GC LIB 4,166.06299,C9H10O3,167.0702752,184.0968152,189.0522152
3-Isochromanone,ILHLUZUMRJQEAH-UHFFFAOYSA-N,GC LIB 4,148.05243,C9H8O2,149.0597105,166.0862505,171.0416505
9-Fluorenone,YLQWCDOCJODRMT-UHFFFAOYSA-N,GC LIB 4,180.05751,C13H8O,181.0647959,198.0913359,203.0467359
Alizarin,RGCKGOZRHPZPFP-UHFFFAOYSA-N,GC LIB 4,240.04226,C14H8O4,241.0495397,258.0760797,263.0314797
Androsterone,QGXBDMJGAMFCBF-HLUDHZFRSA-N,GC LIB 4,290.22458,C19H30O2,291.2318612,308.2584012,313.2138012
Biphenyl,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,GC LIB 4,154.07825,C12H10,155.0855313,172.1120713,177.0674713
Carbamic Acid Ethyl Ester (Urethane),JOYRKODLDBILNP-UHFFFAOYSA-N,GC LIB 4,89.04768,C3H7NO2,90.05495947,107.0814995,112.0368995
D-(+) Trehalose,HDTRYLNUVZCQOY-LIZSDCNHSA-N,GC LIB 4,342.11621,C12H22O11,343.1234925,360.1500325,365.1054325
Dibenzofuran,TXCDCPKCNAJMEE-UHFFFAOYSA-N,GC LIB 4,168.05751,C12H8O,169.0647959,186.0913359,191.0467359
Methyl Palmitoleate,IZFGRAGOVZCUFB-HJWRWDBZSA-N,GC LIB 4,268.24023,C17H32O2,269.2475113,286.2740513,291.2294513
Methyl Yellow,JCYPECIVGRXBMO-UHFFFAOYSA-N,GC LIB 4,225.1266,C14H15N3,226.1338785,243.1604185,248.1158185
Mono(2-Ethylhexyl)Phthalate,DJDSLBVSSOQSLW-UHFFFAOYSA-N,GC LIB 4,278.15181,C16H22O4,279.1590902,296.1856302,301.1410302
O-Phosphocolamine,SUHOOTKUPISOBE-UHFFFAOYSA-N,GC LIB 4,141.01909,C2H8NO4P,142.0263757,159.0529157,164.0083157
Orcinol,OIPPWFOQEKKFEE-UHFFFAOYSA-N,GC LIB 4,124.05243,C7H8O2,125.0597105,142.0862505,147.0416505
Phthalic Acid,XNGIFLGASWRNHJ-UHFFFAOYSA-N,GC LIB 4,166.02661,C8H6O4,167.0338897,184.0604297,189.0158297
P-Toluenesulfonic Acid,JOXIMZWYDAKGHI-UHFFFAOYSA-N,GC LIB 4,172.01942,C7H8O3S,173.0266963,190.0532363,195.0086363
Trans-Trans-Farnesol,CRDAMVZIKSXKFV-YFVJMOTDSA-N,GC LIB 4,222.19837,C15H26O,223.2056465,240.2321865,245.1875865
2-Hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,GC LIB 5,170.07316,C12H10O,171.0804459,188.1069859,193.0623859
2-Isopropylmalic Acid,BITYXLXUCSKTJS-ZETCQYMHSA-N,GC LIB 5,176.06847,C7H12O5,177.0757545,194.1022945,199.0576945
"4′,5,7-Trihydroxyisoflavone",TZBJGXHYKVUXJN-UHFFFAOYSA-N,GC LIB 5,270.05282,C15H10O5,271.0601044,288.0866444,293.0420444
4-Nitrocatechol,XJNPNXSISMKQEX-UHFFFAOYSA-N,GC LIB 5,155.02186,C6H5NO4,156.0291386,173.0556786,178.0110786
Acetanilide,FZERHIULMFGESH-UHFFFAOYSA-N,GC LIB 5,135.06841,C8H9NO,136.0756949,153.1022349,158.0576349
"Cis-1,2-Cyclohexanediol",PFURGBBHAOXLIO-OLQVQODUSA-N,GC LIB 5,116.08373,C6H12O2,117.0910106,134.1175506,139.0729506
Cyclohexanamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,GC LIB 5,99.1048,C6H13N,100.1120804,117.1386204,122.0940204
Dihydrocapsaicin,XJQPQKLURWNAAH-UHFFFAOYSA-N,GC LIB 5,307.21474,C18H29NO3,308.2220248,325.2485648,330.2039648
Dioctyl Phthalate,MQIUGAXCHLFZKX-UHFFFAOYSA-N,GC LIB 5,390.27701,C24H38O4,391.2842907,408.3108307,413.2662307
Hydrocinnamic Acid,XMIIGOLPHOKFCH-UHFFFAOYSA-N,GC LIB 5,150.06808,C9H10O2,151.0753606,168.1019006,173.0573006
Isomaltose,DLRVVLDZNNYCBX-RTPHMHGBSA-N,GC LIB 5,342.11621,C12H22O11,343.1234925,360.1500325,365.1054325
L-Beta-Phenyllactic Acid,VOXXWSYKYCBWHO-MRVPVSSYSA-N,GC LIB 5,166.06299,C9H10O3,167.0702752,184.0968152,189.0522152
Methyl Heptadecanoate,HUEBIMLTDXKIPR-UHFFFAOYSA-N,GC LIB 5,284.27153,C18H36O2,285.2788114,302.3053514,307.2607514
"N,N-Dimethylglycine",FFDGPVCHZBVARC-UHFFFAOYSA-N,GC LIB 5,103.06333,C4H9NO2,104.0706095,121.0971495,126.0525495
N-Acetyl-D-Tryptophan,DZTHIGRZJZPRDV-GFCCVEGCSA-N,GC LIB 5,246.10044,C13H14N2O3,247.1077233,264.1342633,269.0896633
Paraoxon,WYMSBXTXOHUIGT-UHFFFAOYSA-N,GC LIB 5,275.05587,C10H14NO6P,276.0631552,293.0896952,298.0450952
P-Cymene,HFPZCAJZSCWRBC-UHFFFAOYSA-N,GC LIB 5,134.10955,C10H14,135.1168315,152.1433715,157.0987715
Phloroglucinol,QCDYQQDYXPDABM-UHFFFAOYSA-N,GC LIB 5,126.03169,C6H6O3,127.0389751,144.0655151,149.0209151
Scopoletin,RODXRVNMMDRFIK-UHFFFAOYSA-N,GC LIB 5,192.04226,C10H8O4,193.0495397,210.0760797,215.0314797
Urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,GC LIB 5,60.03236,CH4N2O,61.03964376,78.06618376,83.02158376
"1,2-Cyclohexanedione",OILAIQUEIWYQPH-UHFFFAOYSA-N,GC LIB 6,112.05243,C6H8O2,113.0597105,130.0862505,135.0416505
2-Amino-1-Phenylethanol,ULSIYEODSMZIPX-UHFFFAOYSA-N,GC LIB 6,137.08406,C8H11NO,138.091345,155.117885,160.073285
3-Amino-L-Tyrosine,POGSZHUEECCEAP-ZETCQYMHSA-N,GC LIB 6,196.08479,C9H12N2O3,197.0920733,214.1186133,219.0740133
4-Acetamidobutyric Acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,GC LIB 6,145.07389,C6H11NO3,146.0811742,163.1077142,168.0631142
4-Acetylbutyric Acid,MGTZCLMLSSAXLD-UHFFFAOYSA-N,GC LIB 6,130.06299,C6H10O3,131.0702752,148.0968152,153.0522152
5-Methoxy-3-Indoleacetic Acid,COCNDHOPIHDTHK-UHFFFAOYSA-N,GC LIB 6,205.07389,C11H11NO3,206.0811742,223.1077142,228.0631142
Benzoin,ISAOCJYIOMOJEB-UHFFFAOYSA-N,GC LIB 6,212.08373,C14H12O2,213.0910106,230.1175506,235.0729506
Diethyl Oxalpropionate,NGRAIMFUWGFAEM-UHFFFAOYSA-N,GC LIB 6,202.08412,C9H14O5,203.0914045,220.1179445,225.0733445
"Dihydro-4,4-Dimethyl-2,3-Furandione",HRTOQFBQOFIFEE-UHFFFAOYSA-N,GC LIB 6,128.04734,C6H8O3,129.0546251,146.0811651,151.0365651
Dl-Dihydrosphingosine,OTKJDMGTUTTYMP-UHFFFAOYSA-N,GC LIB 6,301.29808,C18H39NO2,302.3053605,319.3319005,324.2873005
Lactulose,JCQLYHFGKNRPGE-FCVZTGTOSA-N,GC LIB 6,342.11621,C12H22O11,343.1234925,360.1500325,365.1054325
L-Methionine Sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,GC LIB 6,165.04596,C5H11NO3S,166.0532454,183.0797854,188.0351854
